AUCROC,AUCPR,ACC,BA,SN/RE,SP,PR,MCC,F1,CK
0.7812,0.5261,0.7923,0.6923,0.5114,0.8732,0.5372,0.3915,0.524,0.3913
0.7798,0.5288,0.7991,0.6813,0.4684,0.8943,0.5606,0.3877,0.5103,0.3852
0.7657,0.5141,0.7968,0.6411,0.3595,0.9227,0.5726,0.3385,0.4417,0.3253
0.7682,0.4983,0.798,0.6148,0.2835,0.9461,0.6022,0.3117,0.3855,0.2829
