AUCROC,AUCPR,ACC,BA,SN/RE,SP,PR,MCC,F1,CK
0.7776,0.5088,0.7595,0.7,0.5924,0.8076,0.4699,0.3704,0.5241,0.366
0.775,0.511,0.7872,0.662,0.4354,0.8885,0.5292,0.3483,0.4778,0.3457
0.7699,0.5091,0.798,0.6509,0.3848,0.9169,0.5714,0.3515,0.4599,0.3414
0.7687,0.4911,0.7923,0.6067,0.2709,0.9424,0.5753,0.2896,0.3683,0.2628
